Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,05/08/2022 21:00,Parc Olympique Lyonnais,Olympique Lyonnais,AC Ajaccio,2 - 1
2,1,06/08/2022 17:00,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,1 - 2
3,1,06/08/2022 21:00,Stade Gabriel Montpied,Clermont Foot 63,Paris Saint-Germain,0 - 5
4,1,07/08/2022 13:00,Stadium de Toulouse,Toulouse FC,OGC Nice,1 - 1
5,1,07/08/2022 15:00,Stade Raymond Kopa,Angers SCO,FC Nantes,0 - 0
6,1,07/08/2022 15:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,3 - 2
7,1,07/08/2022 15:00,Stade Pierre-Mauroy,LOSC Lille,AJ Auxerre,4 - 1
8,1,07/08/2022 15:00,Stade de la Mosson,Montpellier Hérault SC,ESTAC Troyes,3 - 2
9,1,07/08/2022 17:05,Roazhon Park,Stade Rennais FC,FC Lorient,0 - 1
10,1,07/08/2022 20:45,Stade Vélodrome,Olympique de Marseille,Stade de Reims,4 - 1
16,2,12/08/2022 21:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,1 - 1
15,2,13/08/2022 17:00,Stade Louis II,AS Monaco,Stade Rennais FC,1 - 1
18,2,13/08/2022 21:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,5 - 2
11,2,14/08/2022 15:00,Stade François Coty,AC Ajaccio,RC Lens,0 - 0
12,2,14/08/2022 15:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Angers SCO,2 - 2
19,2,14/08/2022 15:00,Stade Auguste-Delaune,Stade de Reims,Clermont Foot 63,2 - 4
20,2,14/08/2022 15:00,Stade de l'Aube,ESTAC Troyes,Toulouse FC,0 - 3
17,2,14/08/2022 17:05,Stade de Nice,OGC Nice,RC Strasbourg Alsace,1 - 1
13,2,14/08/2022 20:45,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,1 - 1
24,3,19/08/2022 21:00,Parc Olympique Lyonnais,Olympique Lyonnais,ESTAC Troyes,4 - 1
26,3,20/08/2022 17:00,Stade Louis II,AS Monaco,RC Lens,1 - 4
25,3,20/08/2022 21:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,2 - 1
29,3,21/08/2022 13:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,1 - 1
21,3,21/08/2022 15:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,1 - 3
22,3,21/08/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,OGC Nice,1 - 0
27,3,21/08/2022 15:00,Stade de la Mosson,Montpellier Hérault SC,AJ Auxerre,1 - 2
30,3,21/08/2022 15:00,Stadium de Toulouse,Toulouse FC,FC Lorient,2 - 2
28,3,21/08/2022 17:05,Roazhon Park,Stade Rennais FC,AC Ajaccio,2 - 1
23,3,21/08/2022 20:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 7
31,4,26/08/2022 21:00,Stade François Coty,AC Ajaccio,LOSC Lille,1 - 3
32,4,27/08/2022 17:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Strasbourg Alsace,1 - 0
34,4,27/08/2022 21:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,2 - 1
36,4,28/08/2022 13:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,3 - 1
33,4,28/08/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,0 - 7
35,4,28/08/2022 15:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,2 - 1
37,4,28/08/2022 15:00,Stade de Nice,OGC Nice,Olympique de Marseille,0 - 3
40,4,28/08/2022 15:00,Stade de l'Aube,ESTAC Troyes,Angers SCO,3 - 1
39,4,28/08/2022 17:05,Stade Auguste-Delaune,Stade de Reims,Olympique Lyonnais,1 - 1
38,4,28/08/2022 20:45,Parc des Princes,Paris Saint-Germain,AS Monaco,1 - 1
41,5,31/08/2022 19:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,2 - 4
44,5,31/08/2022 19:00,Parc Olympique Lyonnais,Olympique Lyonnais,AJ Auxerre,2 - 1
